Average runtime of the hanoi program for n going from 0 to 100000 with 20 tests

n = 54400	Runtime = 0.0013798369982396252
n = 54500	Runtime = 0.0013336159972823225
n = 54600	Runtime = 0.0013357860007090494
n = 54700	Runtime = 0.0014141780011414085
n = 54800	Runtime = 0.0013991550003993325
n = 54900	Runtime = 0.0013867999987269286
n = 55000	Runtime = 0.0013680689989996608
n = 55100	Runtime = 0.0013653339992742985
n = 55200	Runtime = 0.0014295740002125967
n = 55300	Runtime = 0.0013873770003556274
n = 55400	Runtime = 0.0014014589978614822
n = 55500	Runtime = 0.0016149140028574038
n = 55600	Runtime = 0.0014308690006146207
n = 55700	Runtime = 0.0014111269993009046
n = 55800	Runtime = 0.0014459699996223208
n = 55900	Runtime = 0.0013826009999320377
n = 56000	Runtime = 0.0014374489983310923
n = 56100	Runtime = 0.001452937998692505
n = 56200	Runtime = 0.0013967289996799082
n = 56300	Runtime = 0.0014011089988343883
n = 56400	Runtime = 0.0014441800012718886
n = 56500	Runtime = 0.0014220250013750046
n = 56600	Runtime = 0.0014651269993919414
n = 56700	Runtime = 0.001746424000884872
n = 56800	Runtime = 0.001455186000384856
n = 56900	Runtime = 0.0014791059984418098
n = 57000	Runtime = 0.0014445399974647444
n = 57100	Runtime = 0.0014410939984372817
n = 57200	Runtime = 0.0017499770001450088
n = 57300	Runtime = 0.0014517669987981208
n = 57400	Runtime = 0.0015034660027595237
n = 57500	Runtime = 0.0014565720011887606
n = 57600	Runtime = 0.0014682879991596565
n = 57700	Runtime = 0.0014638620014011394
n = 57800	Runtime = 0.001757824000378605
n = 57900	Runtime = 0.0019259069995314348
n = 58000	Runtime = 0.0015905280015431345
n = 58100	Runtime = 0.0015637789983884431
n = 58200	Runtime = 0.0016612790022918489
n = 58300	Runtime = 0.0015087169995240401
n = 58400	Runtime = 0.0016194210002140608
n = 58500	Runtime = 0.001510623002104694
n = 58600	Runtime = 0.0015495840016228613
n = 58700	Runtime = 0.0018659769993973896
n = 58800	Runtime = 0.0017579349987499882
n = 58900	Runtime = 0.0016648130003886763
n = 59000	Runtime = 0.001563550998980645
n = 59100	Runtime = 0.0016190599999390543
n = 59200	Runtime = 0.0016324309981428087
n = 59300	Runtime = 0.00159852199794841
n = 59400	Runtime = 0.001737196998874424
n = 59500	Runtime = 0.0016138709979713894
n = 59600	Runtime = 0.0016857080008776393
n = 59700	Runtime = 0.0016017470006772783
n = 59800	Runtime = 0.0018926310003735125
n = 59900	Runtime = 0.001635390999581432
n = 60000	Runtime = 0.001624407999770483
n = 60100	Runtime = 0.0016739299971959554
n = 60200	Runtime = 0.0016666739975335076
n = 60300	Runtime = 0.0017142230026365723
n = 60400	Runtime = 0.0016174230004253332
n = 60500	Runtime = 0.0016301030009344686
n = 60600	Runtime = 0.0016871200023160782
n = 60700	Runtime = 0.0016761000006226823
n = 60800	Runtime = 0.0019688639986270573
n = 60900	Runtime = 0.001681832000031136
n = 61000	Runtime = 0.0016652310005156323
n = 61100	Runtime = 0.001640188002056675
n = 61200	Runtime = 0.0017017239988490473
n = 61300	Runtime = 0.00170871100272052
n = 61400	Runtime = 0.0016563680001127068
n = 61500	Runtime = 0.0017439229995943606
n = 61600	Runtime = 0.0017839270003605634
n = 61700	Runtime = 0.0022347220001392998
n = 61800	Runtime = 0.0016696999991836492
n = 61900	Runtime = 0.0017507450029370375
n = 62000	Runtime = 0.0016927809992921539
n = 62100	Runtime = 0.0017559480002091732
n = 62200	Runtime = 0.001767122001183452
n = 62300	Runtime = 0.001721753000310855
n = 62400	Runtime = 0.0017235129998880439
n = 62500	Runtime = 0.001726442002109252
